Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Terry Rozier,5.60%,72.5,8' 2.5'',190.2,80.25,2015
D?Angelo Russell,8.30%,75.25,8' 6'',193.4,81.75,2015
Keifer Sykes,5.00%,70.5,7' 9'',167.2,74.0,2015
Marcus Thornton,5.30%,73.75,8' 1.5'',177.4,79.75,2015
J.P. Tokoto,4.10%,77.25,8' 4.5'',195.8,82.0,2015
Myles Turner,9.30%,81.75,9' 4'',238.6,88.0,2015
Robert Upshaw,12.50%,82.75,9' 5'',258.2,89.5,2015
Rashad Vaughn,6.20%,75.75,8' 5'',198.6,79.0,2015
Chris Walker,5.10%,80.75,9' 0'',208.0,86.75,2015
Dez Wells,8.10%,75.0,8' 4.5'',208.8,81.5,2015
Alan Williams,12.00%,79.25,8' 10.5'',261.4,85.75,2015
Justise Winslow,5.30%,76.5,8' 8.5'',221.8,82.25,2015
Christian Wood,14.70%,81.25,9' 3.5'',216.0,87.25,2015
Delon Wright,6.60%,76.25,8' 5.5'',181.4,79.5,2015
Ron Baker,7.85%,75.25,8' 1.5'',212.4,81.75,2016
Wade Baldwin,PG,123.0,4'' 8',4'',2427.6000000000004,2016
Cat Barber,4.50%,73.5,7' 11.5'',173.0,77.5,2016
Malik Beasley,6.90%,75.5,8' 4.5'',189.8,79.0,2016
DeAndre Bembry,7.00%,76.25,8' 5'',206.6,81.25,2016
Ben Bentil,9.70%,79.25,8' 9'',229.2,85.5,2016
Jaron Blossomgame,5.25%,78.25,8' 6'',213.6,82.0,2016
Joel Bolomboy,5.15%,79.5,8' 7.5'',224.4,85.75,2016
Malcolm Brogdon,5.40%,75.75,8' 2'',223.0,82.5,2016
Jaylen Brown,5.05%,77.25,8' 6.5'',222.8,83.75,2016
Marquese Chriss,8.50%,80.75,8' 9'',233.0,84.25,2016
Elgin Cook,6.35%,77.0,8' 4.5'',209.8,82.0,2016
Isaiah Cousins,4.80%,75.25,8' 2.5'',194.0,78.25,2016
Deyonta Davis,9.70%,81.25,9' 0.5'',237.2,86.5,2016
Cheick Diallo,5.60%,79.5,8' 11.5'',218.6,88.5,2016
Kris Dunn,-%,75.0,8' 4'',0.0,81.5,2016
Henry Ellenson,11.20%,82.0,9' 0'',242.0,86.25,2016
Perry Ellis,4.60%,79.0,8' 6'',217.8,82.25,2016
Kay Felder,5.80%,68.25,7' 4.5'',177.2,74.5,2016
Dorian Finney-Smith,6.45%,78.5,8' 9.5'',212.6,83.75,2016
Michael Gbinije,5.40%,77.5,8' 5'',204.6,79.5,2016
Daniel Hamilton,5.95%,78.25,8' 7.5'',197.0,81.0,2016
Josh Hart,5.75%,76.0,8' 3.5'',203.6,80.5,2016
Nigel Hayes,10.90%,78.25,8' 11.5'',245.0,87.0,2016
Buddy Hield,6.10%,75.75,8' 5'',212.4,81.25,2016
Justin Jackson,7.60%,79.0,8' 7.5'',193.4,82.75,2016
Demetrius Jackson,6.50%,72.0,7' 9'',193.8,77.5,2016
Brice Johnson,7.50%,81.0,8' 10.5'',208.6,84.5,2016
Damian Jones,6.55%,82.25,8' 11'',243.6,87.75,2016
Skal Labissiere,5.70%,82.5,8' 9.5'',215.8,86.5,2016
Jake Layman,7.10%,80.0,8' 6'',208.6,81.25,2016
Caris LeVert,7.55%,77.75,8' 5'',191.0,82.0,2016
Marcus Lee,5.35%,81.0,8' 11.5'',211.0,87.0,2016
Thon Maker,6.05%,83.75,9' 2.5'',216.0,87.0,2016
Patrick McCaw,4.70%,77.25,8' 4.5'',180.8,82.0,2016
Malik Newman,5.60%,74.25,8' 1.5'',182.2,77.75,2016
Georges Niang,10.05%,78.75,8' 7'',230.8,82.0,2016
Chinanu Onuaku,8.55%,81.0,9' 0.5'',245.2,86.75,2016
Marcus Paige,4.30%,72.5,8' 1'',163.8,78.25,2016
Gary Payton,PG,120.0,3'' 8',3.5'',2211.6000000000004,2016
